# cum_return=-0.145038	ann_return=-2.050612	sharpe=-10.273749	max_dd=0.145132	n_days=20	daily_mean=-0.008137	daily_std=0.012573
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2026-04-01	10000.0000	0.0000
2026-04-02	9959.5000	-40.5000
2026-04-06	10001.0950	41.5950
2026-04-07	9734.7900	-266.3050
2026-04-08	9705.1950	-29.5950
2026-04-09	9704.8300	-0.3650
2026-04-10	9584.4100	-120.4200
2026-04-13	9496.6250	-87.7850
2026-04-14	9297.8400	-198.7850
2026-04-15	9270.5600	-27.2800
2026-04-16	9270.1800	-0.3800
2026-04-17	9259.8200	-10.3600
2026-04-20	9301.1350	41.3150
2026-04-21	8920.8250	-380.3100
2026-04-22	8897.8050	-23.0200
2026-04-23	9025.1250	127.3200
2026-04-24	8866.6500	-158.4750
2026-04-27	8740.9750	-125.6750
2026-04-28	8624.1150	-116.8600
2026-04-29	8549.6200	-74.4950
